primary_title,genres,studio,domestic_gross,year
Black Panther,"Action,Adventure,Sci-Fi",BV,700100000.0,2018
Avengers: Infinity War,"Action,Adventure,Sci-Fi",BV,678800000.0,2018
Jurassic World,"Action,Adventure,Sci-Fi",Uni.,652300000.0,2015
Star Wars: The Last Jedi,"Action,Adventure,Fantasy",BV,620200000.0,2017
Incredibles 2,"Action,Adventure,Animation",BV,608600000.0,2018
Rogue One: A Star Wars Story,"Action,Adventure,Sci-Fi",BV,532200000.0,2016
Finding Dory,"Adventure,Animation,Comedy",BV,486300000.0,2016
Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",BV,459000000.0,2015
The Dark Knight Rises,"Action,Thriller",WB,448100000.0,2012
Jurassic World: Fallen Kingdom,"Action,Adventure,Sci-Fi",Uni.,417700000.0,2018
Toy Story 3,"Adventure,Animation,Comedy",BV,415000000.0,2010
Wonder Woman,"Action,Adventure,Fantasy",WB,412600000.0,2017
Iron Man 3,"Action,Adventure,Sci-Fi",BV,409000000.0,2013
Captain America: Civil War,"Action,Adventure,Sci-Fi",BV,408100000.0,2016
Jumanji: Welcome to the Jungle,"Action,Adventure,Comedy",Sony,404500000.0,2017
Frozen,"Adventure,Drama,Sport",BV,400700000.0,2013
Guardians of the Galaxy Vol. 2,"Action,Adventure,Comedy",BV,389800000.0,2017
The Secret Life of Pets,"Adventure,Animation,Comedy",Uni.,368400000.0,2016
Despicable Me 2,"Adventure,Animation,Comedy",Uni.,368100000.0,2013
Deadpool,"Action,Adventure,Comedy",Fox,363100000.0,2016
Inside Out,"Crime,Drama",BV,356500000.0,2015
Furious 7,"Action,Crime,Thriller",Uni.,353000000.0,2015
American Sniper,"Action,Biography,Drama",WB,350100000.0,2014
Zootopia,"Adventure,Animation,Comedy",BV,341300000.0,2016
Minions,"Adventure,Animation,Comedy",Uni.,336000000.0,2015
Aquaman,"Action,Adventure,Fantasy",WB,335100000.0,2018
Spider-Man: Homecoming,"Action,Adventure,Sci-Fi",Sony,334200000.0,2017
Guardians of the Galaxy,"Action,Adventure,Comedy",BV,333200000.0,2014
Batman v Superman: Dawn of Justice,"Action,Adventure,Fantasy",WB,330400000.0,2016
Suicide Squad,"Action,Adventure,Fantasy",WB,325100000.0,2016
Deadpool 2,"Action,Adventure,Comedy",Fox,318500000.0,2018
Thor: Ragnarok,"Action,Adventure,Comedy",BV,315100000.0,2017
Skyfall,"Action,Adventure,Thriller",Sony,304400000.0,2012
Inception,"Action,Adventure,Sci-Fi",WB,292600000.0,2010
Man of Steel,"Action,Adventure,Sci-Fi",WB,291000000.0,2013
Gravity,"Drama,Sci-Fi,Thriller",WB,274100000.0,2013
Sing,"Animation,Comedy,Family",Uni.,270400000.0,2016
Monsters University,"Adventure,Animation,Comedy",BV,268500000.0,2013
Despicable Me 3,"Adventure,Animation,Comedy",Uni.,264600000.0,2017
The Amazing Spider-Man,"Action,Adventure,Sci-Fi",Sony,262000000.0,2012
Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",BV,259800000.0,2014
The Hangover Part II,"Comedy,Mystery",WB,254500000.0,2011
Despicable Me,"Animation,Comedy,Family",Uni.,251500000.0,2010
