tconst,primary_title,start_year,genres,averagerating,studio,domestic_gross,year
tt0315642,Wazir,2016,"Action,Crime,Drama",7.1,Relbig.,1100000.0,2016
tt0337692,On the Road,2012,"Adventure,Drama,Romance",6.1,IFC,744000.0,2012
tt0359950,The Secret Life of Walter Mitty,2013,"Adventure,Comedy,Drama",7.3,Fox,58200000.0,2013
tt0365907,A Walk Among the Tombstones,2014,"Action,Crime,Drama",6.5,Uni.,26300000.0,2014
tt0369610,Jurassic World,2015,"Action,Adventure,Sci-Fi",7.0,Uni.,652300000.0,2015
tt0372538,Spy,2011,"Action,Crime,Drama",6.6,Fox,110800000.0,2015
tt0376136,The Rum Diary,2011,"Comedy,Drama",6.2,FD,13100000.0,2011
tt0376479,American Pastoral,2016,"Crime,Drama",6.1,LGF,544000.0,2016
tt0383010,The Three Stooges,2012,"Comedy,Family",5.1,Fox,44300000.0,2012
tt0398286,Tangled,2010,"Adventure,Animation,Comedy",7.8,BV,200800000.0,2010
tt0401729,John Carter,2012,"Action,Adventure,Sci-Fi",6.6,BV,73100000.0,2012
tt0409379,In Secret,2013,"Crime,Drama,Thriller",6.2,RAtt.,444000.0,2014
tt0409847,Cowboys & Aliens,2011,"Action,Sci-Fi,Thriller",6.0,Uni.,100200000.0,2011
tt0419692,Disconnect,2010,"Drama,Mystery,Sci-Fi",4.5,LD,1400000.0,2013
tt0420293,The Stanford Prison Experiment,2015,"Biography,Drama,History",6.9,IFC,661000.0,2015
tt0427152,Dinner for Schmucks,2010,Comedy,5.9,P/DW,73000000.0,2010
tt0429493,The A-Team,2010,"Action,Adventure,Thriller",6.8,Fox,77200000.0,2010
tt0431021,The Possession,2012,"Horror,Mystery,Thriller",5.9,LGF,49100000.0,2012
tt0433035,Real Steel,2011,"Action,Drama,Family",7.1,BV,85500000.0,2011
tt0435651,The Giver,2014,"Drama,Romance,Sci-Fi",6.5,Wein.,45100000.0,2014
tt0435761,Toy Story 3,2010,"Adventure,Animation,Comedy",8.3,BV,415000000.0,2010
tt0443272,Lincoln,2012,"Biography,Drama,History",7.4,BV,182200000.0,2012
tt0443465,Before We Go,2014,"Comedy,Drama,Romance",6.8,RTWC,37200.0,2015
tt0446029,Scott Pilgrim vs. the World,2010,"Action,Comedy,Fantasy",7.5,Uni.,31500000.0,2010
tt0448694,Puss in Boots,2011,"Action,Adventure,Animation",6.6,P/DW,149300000.0,2011
tt0451279,Wonder Woman,2017,"Action,Adventure,Fantasy",7.5,WB,412600000.0,2017
tt0454876,Life of Pi,2012,"Adventure,Drama,Fantasy",7.9,Fox,125000000.0,2012
tt0455323,Being Flynn,2012,Drama,6.4,Focus,540000.0,2012
tt0455407,The Crazies,2010,"Horror,Thriller",6.5,Over.,39100000.0,2010
tt0455944,The Equalizer,2014,"Action,Crime,Thriller",7.2,Sony,101500000.0,2014
tt0458339,Captain America: The First Avenger,2011,"Action,Adventure,Sci-Fi",6.9,Par.,176700000.0,2011
tt0458413,A Long Way Down,2014,"Comedy,Drama",6.4,Magn.,13300.0,2014
tt0460890,The Only Living Boy in New York,2017,Drama,6.3,RAtt.,624000.0,2017
tt0461336,Saving Private Perez,2011,"Adventure,Comedy,Western",6.0,LGF,1400000.0,2011
tt0462335,High-Rise,2015,"Drama,Horror,Sci-Fi",5.6,Magn.,346000.0,2016
tt0464154,Piranha 3D,2010,"Comedy,Horror",5.4,W/Dim.,25000000.0,2010
tt0466893,Margaret,2011,Drama,6.5,FoxS,46500.0,2011
tt0470752,Ex Machina,2014,"Drama,Mystery,Sci-Fi",7.7,A24,25400000.0,2015
tt0471042,Tower Heist,2011,"Action,Comedy,Crime",6.2,Uni.,78000000.0,2011
tt0472181,The Smurfs,2011,"Adventure,Animation,Comedy",5.5,Sony,142600000.0,2011
tt0472399,The Mechanic,2011,"Action,Crime,Thriller",6.6,CBS,29100000.0,2011
tt0473075,Prince of Persia: The Sands of Time,2010,"Action,Adventure,Fantasy",6.6,BV,90800000.0,2010
tt0475290,"Hail, Caesar!",2016,"Comedy,Drama,Music",6.3,Uni.,30500000.0,2016
tt0477080,Unstoppable,2010,"Action,Thriller",6.8,Fox,81600000.0,2010
tt0477302,Extremely Loud & Incredibly Close,2011,"Adventure,Drama,Mystery",6.9,WB,31800000.0,2011
tt0478304,The Tree of Life,2011,"Drama,Fantasy",6.8,FoxS,13300000.0,2011
tt0478970,Ant-Man,2015,"Action,Adventure,Comedy",7.3,BV,180200000.0,2015
tt0479997,Season of the Witch,2011,"Action,Adventure,Fantasy",5.4,Rela.,24800000.0,2011
tt0480255,The Losers,2010,"Action,Adventure,Crime",6.4,WB,23600000.0,2010
tt0480687,Hall Pass,2011,"Comedy,Romance",5.9,WB (NL),45100000.0,2011
tt0481499,The Croods,2013,"Action,Adventure,Animation",7.2,Fox,187200000.0,2013
tt0485985,Red Tails,2012,"Action,Adventure,Drama",5.9,Fox,49900000.0,2012
tt0491152,Something Borrowed,2011,"Comedy,Drama,Romance",5.9,WB,39000000.0,2011
tt0491175,Suburbicon,2017,"Comedy,Crime,Drama",5.6,Par.,5800000.0,2017
tt0491203,Tulip Fever,2017,"Drama,History,Romance",6.2,Wein.,2500000.0,2017
tt0492389,Furry Vengeance,2010,"Comedy,Family",3.8,Sum.,17600000.0,2010
tt0493949,Ramona and Beezus,2010,"Adventure,Comedy,Family",6.6,Fox,26200000.0,2010
tt0498351,The Hero of Color City,2014,"Animation,Family",4.0,Magn.,32200.0,2014
tt0498381,Rings,2017,"Drama,Horror,Mystery",4.5,Par.,27800000.0,2017
tt0763831,A Thousand Words,2012,"Comedy,Drama",5.9,P/DW,18500000.0,2012
tt0770703,What's Your Number?,2011,"Comedy,Romance",6.1,Fox,14000000.0,2011
tt0770802,Samsara,2011,"Documentary,Music",8.5,Osci.,2700000.0,2012
tt0770828,Man of Steel,2013,"Action,Adventure,Sci-Fi",7.1,WB,291000000.0,2013
tt0780653,The Wolfman,2010,"Drama,Fantasy,Horror",5.8,Uni.,62000000.0,2010
tt0787474,The Boxtrolls,2014,"Adventure,Animation,Comedy",6.8,Focus,50800000.0,2014
tt0787524,The Man Who Knew Infinity,2015,"Biography,Drama",7.2,IFC,3900000.0,2016
tt0790628,The Incredible Burt Wonderstone,2013,"Adventure,Comedy,Fantasy",5.9,WB (NL),22500000.0,2013
tt0790636,Dallas Buyers Club,2013,"Biography,Drama",8.0,Focus,27300000.0,2013
tt0790663,The First Grader,2010,"Biography,Drama,Romance",7.5,NGE,332000.0,2011
tt0790724,Jack Reacher,2012,"Action,Crime,Thriller",7.0,Par.,80100000.0,2012
tt0790736,R.I.P.D.,2013,"Action,Adventure,Comedy",5.6,Uni.,33600000.0,2013
tt0790770,Miles Ahead,2015,"Biography,Drama,Music",6.4,SPC,2600000.0,2016
tt0795461,Scary Movie 5,2013,Comedy,3.5,W/Dim.,32000000.0,2013
